iter	RMSE
0	35.18345354
1	31.94668849
2	29.01689855
3	26.41182078
4	24.06653583
5	21.90165114
6	19.94732592
7	18.15465436
8	16.53396473
9	15.0907674
10	13.79904645
11	12.60269135
12	11.50241767
13	10.51747635
14	9.616528699
15	8.826640697
16	8.104219534
17	7.433040723
18	6.855946159
19	6.332503983
20	5.863620855
21	5.440151499
22	5.054829451
23	4.714754138
24	4.40564837
25	4.126431939
26	3.876036942
27	3.646451371
28	3.450801808
29	3.272967103
30	3.109993329
31	2.969218113
32	2.849022067
33	2.739611204
34	2.640863659
35	2.555234623
36	2.483555208
37	2.42215756
38	2.35886145
39	2.300872638
40	2.25753753
41	2.216663546
42	2.174427933
43	2.139896809
44	2.104531317
45	2.075010006
46	2.050951824
47	2.025517556
48	2.002704387
49	1.986026032
50	1.967585883
51	1.951160185
52	1.934666001
53	1.922911671
54	1.908016489
55	1.894070286
56	1.881709417
57	1.872432644
58	1.861751091
59	1.851824891
60	1.845983952
61	1.837895418
62	1.825270203
63	1.818972328
64	1.803032303
65	1.795122574
66	1.787623656
67	1.779236024
68	1.769761726
69	1.762846805
70	1.754825951
71	1.749807398
72	1.740025488
73	1.734306266
74	1.731896342
75	1.728653641
76	1.725308992
77	1.715400143
78	1.710092396
79	1.699316787
80	1.691769062
81	1.688526623
82	1.685672837
83	1.679479042
84	1.669043875
85	1.663925559
86	1.652552114
87	1.640011347
88	1.630058851
89	1.624185507
90	1.613800663
91	1.603207521
92	1.599472087
93	1.597498196
94	1.590207595
95	1.582654651
96	1.57524789
97	1.567542672
98	1.563007792
99	1.56032805
100	1.55820314
101	1.552985877
102	1.551303552
103	1.544491051
104	1.538319481
105	1.53588377
106	1.532020912
107	1.528342781
108	1.523167771
109	1.517069004
110	1.50724927
111	1.503067276
112	1.501718031
113	1.498844159
114	1.492905219
115	1.484993648
116	1.480138887
117	1.477141147
118	1.473667325
119	1.465380274
120	1.458302864
121	1.451941542
122	1.449338078
123	1.444007951
124	1.442457004
125	1.439304223
126	1.435628914
127	1.429668839
128	1.422718106
129	1.418509528
130	1.416389916
131	1.412607386
132	1.404591578
133	1.402303455
134	1.396234985
135	1.394047062
136	1.39160947
137	1.384901421
138	1.382584363
139	1.376111393
140	1.371095672
141	1.369804509
142	1.366303133
143	1.364250581
144	1.358478499
145	1.354988056
146	1.353936978
147	1.348878603
148	1.342219104
149	1.337002486
150	1.331519052
151	1.32776851
152	1.324275083
153	1.322710719
154	1.319004374
155	1.316559959
156	1.314589147
157	1.312845716
158	1.308066449
159	1.301390171
160	1.297459385
161	1.29414633
162	1.289346055
163	1.284639157
164	1.283417931
165	1.282014486
166	1.280317664
167	1.27619607
168	1.270540394
169	1.26842247
170	1.26680943
171	1.264742119
172	1.261440232
173	1.260257553
174	1.257200625
175	1.25328084
176	1.252082348
177	1.24799518
178	1.245233857
179	1.240358795
180	1.23814708
181	1.234188492
182	1.232740762
183	1.229316813
184	1.226223775
185	1.221337116
186	1.218307867
187	1.213452944
188	1.212101439
189	1.209759872
190	1.206333902
191	1.202458006
192	1.201205208
193	1.198039594
194	1.194979285
195	1.191658621
196	1.188781463
197	1.186188555
198	1.182171605
199	1.178701905
200	1.177756297
201	1.175387024
202	1.170987327
203	1.169753607
204	1.166900168
205	1.162915821
206	1.160351907
207	1.158279215
208	1.156661516
209	1.155080478
210	1.154166161
211	1.150728361
212	1.149311534
213	1.147460972
214	1.145393011
215	1.144362788
216	1.141305472
217	1.138971716
218	1.136029215
219	1.134913167
220	1.133167469
221	1.132291423
222	1.128760136
223	1.127784501
224	1.126433482
225	1.124126239
226	1.122738032
227	1.121624162
228	1.120476939
229	1.118895637
230	1.116952797
231	1.116230892
232	1.11514995
233	1.112893597
234	1.109915204
235	1.107377142
236	1.105583756
237	1.102195515
238	1.099362918
239	1.098362674
240	1.097238954
241	1.096352738
242	1.093638575
243	1.089848235
244	1.088836583
245	1.087008124
246	1.084870067
247	1.083796043
248	1.08241758
249	1.079151701
250	1.07753225
251	1.077007946
252	1.07474514
253	1.073693744
254	1.072085651
255	1.071409118
256	1.069176735
257	1.066718536
258	1.063943869
259	1.063061391
260	1.062260279
261	1.061104048
262	1.057292425
263	1.056889849
264	1.054709996
265	1.053803708
266	1.05171582
267	1.049583345
268	1.048997401
269	1.048223551
270	1.046358095
271	1.043542053
272	1.042589835
273	1.041667036
274	1.0410804
275	1.039408203
276	1.037144526
277	1.036027441
278	1.034832979
279	1.033699731
280	1.033091611
281	1.030748428
282	1.028926186
283	1.027763217
284	1.024798705
285	1.022884803
286	1.020893562
287	1.019816866
288	1.016782944
289	1.015858916
290	1.015088995
291	1.013104883
292	1.011276001
293	1.010601546
294	1.009977501
295	1.008205315
296	1.007518674
297	1.005029846
298	1.00355362
299	1.00296616
300	1.002387572
301	1.001933743
